id;steps;time;nodes
1;15;143;80
2;11;21;74
3;10;12;58
4;10;9;40
5;29;60;183
6;37;178;452
7;32;36;212
8;30;28;230
9;36;111;489
10;18;15;103
11;35;202;775
12;32;255;559
13;44;642;1520
14;38;755;1559
15;45;17;252
16;39;605;1415
17;41;408;1133
18;40;382;1111
19;41;305;1142
20;41;1020;2054
21;45;417;1163
22;60;1955;1977
23;51;571;1657
24;45;652;1770
25;61;334;1140
26;67;54530;12674
27;63;86033;16954
28;55;1094;2231
29;66;10329;6263
30;58;46217;11815
31;76;225011;25715
32;99;206229;25472
33;97;88690;17515
34;78;85481;16301
35;73;41219;11401
36;19;5;77
37;30;41;382
38;31;91;485
39;42;24;273
40;55;426;1439
41;41;7068;4646
42;47;58;478
43;46;49;379
44;62;850;1995
45;73;14050;5965
46;90;58120;13576
47;73;1483;2493
48;68;20034;7973
49;52;283;970
50;55;30128;9339
51;67;3012;3467
52;47;137;673
53;116;23886;8946
54;58;63906;13346
55;66;1877;2752
56;60;13003;6124
57;224;254935;29069
58;55;584;1358
59;-;-;-
60;100;3020811;109044
61;-;-;-
62;-;-;-
63;-;-;-
64;134;1290250;64270
65;-;-;-
66;-;-;-
67;101;5293212;130423
68;-;-;-
69;-;-;-
70;63;4441;3764
71;76;2921;3177
72;87;49498;12667
73;146;412463;36378
74;15;4;76
75;102;97517;17807
76;125;119815;19954
77;80;1591;2801
78;96;25673;9308
79;154;2024922;83852
80;-;-;-
81;59;991;1922
82;120;2961708;103354
83;99;3082117;102054
84;172;24848;9407
85;93;1434782;73308
86;138;1602174;80805
87;75;57569;13753
88;74;688;1992
89;123;483741;38982
90;101;12266;6631
91;63;891;2072
92;99;134365;20532
93;109;219734;26160
94;109;36091;10448
95;105;28986;10001
96;93;33673;10370
97;69;7164;5277
98;126;45795;12039
99;91;15304;7583
100;140;1516803;71926
101;170;957527;54751
102;98;1681558;73875
103;193;1418532;65268
104;57;87300;14173
105;103;3836615;101409
106;84;216569;21194
107;117;4097585;100747
108;69;6294;4661
109;126;1432545;62549
110;169;3008260;99089
111;142;66149;14018
112;49;3549;3234
113;180;1335366;64951
114;76;2641;3207
115;-;-;-
116;-;-;-
117;94;30337;7870
118;-;-;-
119;97;719529;47879
120;177;229416;28931
121;122;1743017;73125
122;119;3129003;108354
123;145;560004;43982
124;87;7490761;162198
125;101;417152;36737
126;-;-;-
127;-;-;-
128;171;972012;58833
129;-;-;-
130;40;10090;4191
131;-;-;-
132;-;-;-
133;40;216043;28071
134;-;-;-
135;33;33501;9697
136;-;-;-
137;81;358431;33373
138;40;1303306;63557
139;-;-;-
140;-;-;-
141;-;-;-
142;-;-;-
143;24;2044;2334
144;-;-;-
145;47;3889514;110456
146;40;129618;20215
147;39;222082;26483
148;83;1661010;81592
149;-;-;-
150;-;-;-
