id;steps;time;nodes
1;15;86;95
2;12;14;26
3;10;2;21
4;10;1;16
5;29;83;167
6;43;127;197
7;34;83;175
8;32;73;191
9;41;106;242
10;20;10;74
11;37;128;309
12;42;269;349
13;56;206;359
14;49;184;379
15;45;27;195
16;43;78;262
17;101;250;645
18;44;48;166
19;55;309;794
20;69;73;387
21;79;93;414
22;86;1029;1706
23;91;715;1528
24;83;219;789
25;77;243;855
26;147;1491;2063
27;235;2554;2942
28;71;1178;2343
29;166;6305;3024
30;110;1756;1446
31;264;5606;3888
32;277;8583;4492
33;319;4204;3788
34;231;10748;4977
35;163;691;1626
36;19;2;40
37;30;5;88
38;39;57;366
39;43;12;207
40;57;259;973
41;83;309;1108
42;52;68;400
43;53;49;328
44;74;417;1375
45;119;7296;4981
46;186;14414;6796
47;85;338;1285
48;268;2420;3126
49;50;143;621
50;137;1485;2244
51;83;433;1545
52;54;58;598
53;156;3254;3809
54;188;884;1883
55;90;721;2017
56;180;1040;1981
57;402;262284;28075
58;55;25;319
59;636;1123045;58753
60;463;41187;11476
61;397;6760;4245
62;363;308081;27559
63;385;725509;45620
64;1060;908214;48014
65;658;138741;16368
66;1219;85842;14667
67;366;16476;6657
68;371;13601;5721
69;393;2878607;91915
70;80;1652;2408
71;86;607;1640
72;137;1228;2199
73;188;275381;28121
74;17;0;33
75;146;3912;3489
76;173;130594;19517
77;88;1310;2342
78;162;3389;3459
79;302;28407;9111
80;377;66775;14125
81;61;239;754
82;205;37683;11408
83;213;134929;17761
84;222;20123;7291
85;415;342273;32428
86;418;14661;7746
87;103;15710;6354
88;84;579;1806
89;225;72513;13213
90;139;4295;3729
91;71;284;846
92;255;83492;14798
93;263;4384;3691
94;157;7486;4947
95;111;11589;6615
96;135;1894;2661
97;89;5535;4623
98;152;10020;5960
99;137;10678;6374
100;248;725765;46760
101;350;115167;17877
102;236;133732;18569
103;277;311032;27664
104;60;8217;4850
105;193;883668;51225
106;118;79851;15077
107;187;2411713;88127
108;81;2408;3357
109;194;581727;41663
110;219;662621;46266
111;170;33411;10563
112;56;302;1189
113;276;927432;53958
114;84;1706;2201
115;680;4367459;104987
116;454;2994292;99455
117;129;3014;3430
118;244;5152601;135889
119;169;421364;37204
120;215;121973;22025
121;204;952269;58333
122;147;447535;41033
123;249;410515;38588
124;481;353315;33591
125;157;349432;34542
126;572;9226;5659
127;490;2225392;84862
128;280;732077;50825
129;420;4805904;137269
130;106;317;1083
131;485;4516877;116758
132;111;1562247;65448
133;60;3538;3219
134
135;89;3840;3544
136;230;11916;6565
137;105;106523;18845
138;66;445;1099
139
140;180;146679;20877
141
142;239;67717;15258
143;48;38;194
144
145;50;1899581;74658
146;194;3723903;106539
147;108;231352;24666
148;119;310913;34093
149;254;52782;13200
150;157;174941;23623
