id,steps,time,nodes
1,15,65,72
2,11,6,30
3,10,37,25
4,10,1,16
5,29,69,159
6,41,104,219
7,32,35,203
8,30,62,188
9,39,23,140
10,20,2,49
11,36,380,510
12,34,195,447
13,44,59,289
14,39,61,242
15,45,31,200
16,43,131,322
17,41,334,665
18,42,100,381
19,43,353,845
20,43,88,304
21,45,340,485
22,66,3537,1861
23,51,1275,1585
24,46,293,563
25,61,402,859
26,69,1996,2306
27,71,10572,4605
28,60,1219,2050
29,66,11824,5798
30,58,943,1748
31,76,5619,3634
32,99,4499,3541
33,97,9814,5554
34,82,1988,2720
35,77,657,1500
36,19,1,36
37,30,4,70
38,36,69,328
39,43,11,197
40,55,128,505
41,51,667,1172
42,48,32,383
43,47,40,291
44,62,773,1492
45,81,11191,5305
46,92,54036,11704
47,77,603,1239
48,72,2865,3185
49,64,120,668
50,59,353,790
51,67,1384,2326
52,48,89,558
53,116,7029,4828
54,58,1148,1967
55,76,977,2182
56,66,549,1520
57,228,282393,27829
58,55,110,553
59,130,1423210,62904
60,116,38244,11909
61,91,11936,5863
62,141,2260838,78109
63,169,476048,37775
64,134,1401175,61734
65,149,68857,13062
66,111,20897,8805
67,113,426,1398
68,115,15875,6804
69,125,65371,13184
70,64,2283,3003
71,76,1606,2534
72,93,853,2095
73,148,458492,34481
74,17,1,29
75,102,1526,2333
76,133,142871,19538
77,80,862,2108
78,98,3415,3565
79,160,59461,12276
80,117,82521,15680
81,59,83,701
82,135,8669,5817
83,113,124647,15631
84,188,24084,9035
85,113,433445,34842
86,148,19804,8476
87,81,19124,7541
88,74,553,1781
89,129,66745,13455
90,107,8847,5265
91,63,199,839
92,103,104127,15221
93,113,1889,2620
94,115,10524,5589
95,109,8461,5663
96,113,2768,3080
97,75,2880,3383
98,134,9139,5360
99,103,11803,6259
100,152,358928,32315
101,172,283180,28150
102,130,163745,21095
103,269,379418,36011
104,70,602,1609
105,143,652046,46290
106,104,29910,9619
107,139,1018352,57021
108,73,3090,3653
109,150,625841,43869
110,183,737805,49360
111,142,34039,10635
112,50,320,963
113,196,842698,54134
114,82,1184,2258
115,228,3953416,106977
116,281,1217061,66767
117,94,2827,3161
118,208,2492941,91602
119,149,258148,28623
120,201,150968,23467
121,170,957367,57751
122,121,372220,36528
123,169,376186,37097
124,127,337009,33397
125,117,358123,34431
126,246,49391,12688
127,208,2348674,89448
128,240,711620,50838
129,372,4109298,123886
130,56,415,1327
131,197,191270,25008
132,85,303475,29314
133,58,213,868
134,178,1703504,75315
135,33,92,442
136,90,136865,21963
137,95,53914,13258
138,68,1995,2241
139,192,4310860,123913
140,98,97960,15795
141,185,6699881,148322
142,97,59770,14708
143,40,17,176
144,158,1390775,60670
145,58,17859,7715
146,80,2264335,79460
147,88,215514,23746
148,121,177426,24410
149,217,138692,19939
150,145,158936,20387
